Cron Job ID,Cron Job Name,Expression,URL,Email Me,Log,POST,Status,Prumerny cas provedeni,
458364,Import produktů 4 na buvu.co.uk,45 3 * * *,URL CRONU 458364,if execution fail,10240,,enabled,32.348,0
458363,Import produktů 3 na buvu.co.uk,40 3 * * *,URL CRONU 458363,if execution fail,10240,,enabled,92.669,0
458362,Import produktů 2 na buvu.co.uk,35 3 * * *,URL CRONU 458362,if execution fail,10240,,enabled,80.403,0
458360,Import produktů 1 na buvu.co.uk,30 3 * * *,URL CRONU 458360,if execution fail,10240,,enabled,84.406,0
456640,Export faktur,10 * * * *,URL CRONU 456640,if execution fail,10240,,enabled,9.175,0
455233,Vavrys import,20 4 * * *,URL CRONU 455233,never,10240,,enabled,463.765,0
454851,Moofi synchro BG,48 * * * *,URL CRONU 454851,if execution fail,10240,,enabled,555.906,0
452794,Actisport.cz Scott import,40 3 * * *,URL CRONU 452794,never,10240,,enabled,578.118,0
452761,Notifikace rezervací o vypršení dnes CZ,5 17 * * *,URL CRONU 452761,never,10240,,enabled,14.049,0
452760,Notifikace rezervací o vypršení dnes SK,5 17 * * *,URL CRONU 452760,never,10240,,enabled,39.691,0
452759,Notifikace rezervací o vypršení dnes PL,5 17 * * *,URL CRONU 452759,never,10240,,enabled,1.109,0
452758,Notifikace rezervací o vypršení dnes HU,5 17 * * *,URL CRONU 452758,never,10240,,enabled,2.293,0
452757,Notifikace rezervací o vypršení dnes RO,5 17 * * *,URL CRONU 452757,never,10240,,enabled,1.864,0
452756,Notifikace rezervací o vypršení za 2 dny CZ,0 17 * * *,URL CRONU 452756,never,10240,,enabled,39.995,0
452755,Notifikace rezervací o vypršení za 2 dny SK,0 17 * * *,URL CRONU 452755,never,10240,,enabled,40.112,0
452754,Notifikace rezervací o vypršení za 2 dny PL,0 17 * * *,URL CRONU 452754,never,10240,,enabled,1.301,0
452753,Notifikace rezervací o vypršení za 2 dny HU,0 17 * * *,URL CRONU 452753,never,10240,,enabled,2.382,0
452752,Notifikace rezervací o vypršení za 2 dny RO,0 17 * * *,URL CRONU 452752,never,10240,,enabled,2.652,0
452749,Storno rezervací RO,30 23 * * *,URL CRONU 452749,never,10240,,enabled,8.184,0
452748,Storno rezervací HU,30 23 * * *,URL CRONU 452748,never,10240,,enabled,8.755,0
452746,Storno rezervací PL,30 23 * * *,URL CRONU 452746,never,10240,,enabled,1.442,0
452744,Storno rezervací SK,30 23 * * *,URL CRONU 452744,never,10240,,enabled,31.005,0
452742,Storno rezervací CZ,30 23 * * *,URL CRONU 452742,never,10240,,enabled,14.562,0
452064,Import produktů 4 na donga.sk,15 3 * * *,URL CRONU 452064,if execution fail,10240,,enabled,24.406,0
452063,Import produktů 3 na donga.sk,10 3 * * *,URL CRONU 452063,if execution fail,10240,,enabled,126.946,0
452062,Import produktů 2 na donga.sk,5 3 * * *,URL CRONU 452062,if execution fail,10240,,enabled,116.538,0
452061,Import produktů 4 na postershop.cz,45 3 * * *,URL CRONU 452061,if execution fail,10240,,enabled,20.737,0
452060,Import produktů 3 na postershop.cz,40 3 * * *,URL CRONU 452060,if execution fail,10240,,enabled,75.411,0
452057,Import produktů 2 na postershop.cz,35 3 * * *,URL CRONU 452057,if execution fail,10240,,enabled,75.527,0
449431,Kontrola stavu platby pro CSOB branu CZ,"0,15,30,45 * * * *",URL CRONU 449431,if execution fail,10240,,enabled,1.973,0
445684,Moofi.ro backup položek objednávek,23 * * * *,URL CRONU 445684,never,10240,,enabled,0.758,0
